Mode,Indicator,Date,Week Num,Lowest,Current,Last Year
Aviation,U.S. Domestic Commercial Flights (Departures),08/01/2021,32.21,6679,23553,26791
Aviation,U.S. Domestic Commercial Flights (Departures),08/02/2021,32.21,6679,23840,28337
Aviation,U.S. Domestic Commercial Flights (Departures),08/03/2021,32.21,6679,23705,28660
Aviation,U.S. Domestic Commercial Flights (Departures),08/04/2021,32.21,6679,24411,27821
Aviation,U.S. Domestic Commercial Flights (Departures),08/05/2021,32.21,6679,25241,29244
Aviation,U.S. Domestic Commercial Flights (Departures),08/06/2021,32.21,6679,24759,29076
Aviation,U.S. Domestic Commercial Flights (Departures),08/07/2021,32.21,6679,21795,23453
Aviation,People Screened at All Airports,08/08/2021,33.21,88341,2122272,2573685
Aviation,People Screened at All Airports,08/09/2021,33.21,88341,1970430,2487862
Aviation,People Screened at All Airports,08/10/2021,33.21,88341,1677108,2232192
Aviation,People Screened at All Airports,08/11/2021,33.21,88341,1718684,2311471
Aviation,People Screened at All Airports,08/12/2021,33.21,88341,1989360,2523831
Aviation,People Screened at All Airports,08/13/2021,33.21,88341,2001110,2549874
Aviation,People Screened at All Airports,08/14/2021,33.21,88341,1720149,2103477
Aviation,U.S. Domestic Commercial Flights (Departures),08/08/2021,33.21,6679,24034,26717
Aviation,U.S. Domestic Commercial Flights (Departures),08/09/2021,33.21,6679,24059,27871
Aviation,U.S. Domestic Commercial Flights (Departures),08/10/2021,33.21,6679,24062,28491
Aviation,U.S. Domestic Commercial Flights (Departures),08/11/2021,33.21,6679,24336,28796
Aviation,U.S. Domestic Commercial Flights (Departures),08/12/2021,33.21,6679,26055,29182
Aviation,U.S. Domestic Commercial Flights (Departures),08/13/2021,33.21,6679,24413,28812
Aviation,U.S. Domestic Commercial Flights (Departures),08/14/2021,33.21,6679,19095,22968
Aviation,U.S. Domestic Commercial Flights (Departures),08/15/2021,34.21,6679,23565,25609
Aviation,U.S. Domestic Commercial Flights (Departures),08/16/2021,34.21,6679,24555,27553
Aviation,U.S. Domestic Commercial Flights (Departures),08/17/2021,34.21,6679,23088,27193
Aviation,U.S. Domestic Commercial Flights (Departures),08/18/2021,34.21,6679,24011,27969
Aviation,U.S. Domestic Commercial Flights (Departures),08/19/2021,34.21,6679,25548,29124
Aviation,U.S. Domestic Commercial Flights (Departures),08/20/2021,34.21,6679,24872,28606
Aviation,U.S. Domestic Commercial Flights (Departures),08/21/2021,34.21,6679,21414,22313
Aviation,People Screened at All Airports,08/15/2021,34.21,88341,2061496,2505842
Aviation,People Screened at All Airports,08/16/2021,34.21,88341,1921852,2495471
Aviation,People Screened at All Airports,08/17/2021,34.21,88341,1555773,2172117
Aviation,People Screened at All Airports,08/18/2021,34.21,88341,1638970,2230423
Aviation,People Screened at All Airports,08/19/2021,34.21,88341,1888936,2455433
Aviation,People Screened at All Airports,08/20/2021,34.21,88341,1915610,2481428
Aviation,People Screened at All Airports,08/21/2021,34.21,88341,1624879,1971988
Aviation,U.S. Domestic Commercial Flights (Departures),08/22/2021,35.21,6679,22613,26163
Aviation,U.S. Domestic Commercial Flights (Departures),08/23/2021,35.21,6679,23989,27572
Aviation,U.S. Domestic Commercial Flights (Departures),08/24/2021,35.21,6679,23432,27558
Aviation,U.S. Domestic Commercial Flights (Departures),08/25/2021,35.21,6679,24102,28185
Aviation,U.S. Domestic Commercial Flights (Departures),08/26/2021,35.21,6679,25490,29224
Aviation,U.S. Domestic Commercial Flights (Departures),08/27/2021,35.21,6679,25044,28665
Aviation,U.S. Domestic Commercial Flights (Departures),08/28/2021,35.21,6679,21215,20525
Aviation,U.S. International Commercial Flights (Departures),08/22/2021,35.21,326,2636,4484
Aviation,U.S. International Commercial Flights (Departures),08/23/2021,35.21,326,2569,4413
Aviation,U.S. International Commercial Flights (Departures),08/24/2021,35.21,326,2487,4276
Aviation,U.S. International Commercial Flights (Departures),08/25/2021,35.21,326,2544,4311
Aviation,U.S. International Commercial Flights (Departures),08/26/2021,35.21,326,2535,4457
Aviation,U.S. International Commercial Flights (Departures),08/27/2021,35.21,326,2560,4476
Aviation,U.S. International Commercial Flights (Departures),08/28/2021,35.21,326,2791,4476
Aviation,U.S. Domestic Commercial Flights (Departures),08/29/2021,36.21,6679,22986,20318
Aviation,U.S. Domestic Commercial Flights (Departures),08/30/2021,36.21,6679,22900,24641
Aviation,U.S. Domestic Commercial Flights (Departures),08/31/2021,36.21,6679,22728,24625
Aviation,U.S. Domestic Commercial Flights (Departures),09/01/2021,36.21,6679,23049,26181
Aviation,U.S. Domestic Commercial Flights (Departures),09/02/2021,36.21,6679,25530,27229
