fecha,p (mbar),T (degC),Tdew (degC),rh (%),wd (deg)
2014-01-01 00:00:00,987.18,-0.07,-4.34,72.8,190.5
2014-01-01 01:00:00,986.81,1.18,-4.53,65.55,173.7
2014-01-01 02:00:00,986.44,1.56,-4.51,63.87,192.7
2014-01-01 03:00:00,986.15,2.1,-4.35,62.19,208.0
2014-01-01 04:00:00,986.26,2.94,-4.66,57.22,224.4
2014-01-01 05:00:00,986.16,3.33,-4.93,54.48,190.6
2014-01-01 06:00:00,986.5,2.88,-4.93,56.27,193.5
2014-01-01 07:00:00,986.56,2.77,-4.75,57.52,208.7
2014-01-01 08:00:00,987.58,2.01,-3.72,65.64,186.5
2014-01-01 09:00:00,988.14,1.39,-2.91,72.9,138.0
2014-01-01 10:00:00,988.4,1.19,-2.34,77.2,166.7
2014-01-01 11:00:00,988.44,1.8,-2.08,75.3,169.2
2014-01-01 12:00:00,987.92,2.64,-1.4,74.6,142.9
2014-01-01 13:00:00,987.71,3.65,-0.56,73.9,179.6
2014-01-01 14:00:00,987.38,4.02,-0.01,74.9,169.9
2014-01-01 15:00:00,987.38,3.5,-0.25,76.4,189.8
2014-01-01 16:00:00,987.07,2.82,-0.02,81.5,204.7
2014-01-01 17:00:00,986.91,2.05,-0.11,85.5,173.4
2014-01-01 18:00:00,986.26,1.17,-0.28,90.0,133.7
2014-01-01 19:00:00,985.46,1.71,0.07,88.8,194.0
2014-01-01 20:00:00,984.91,1.33,-0.2,89.5,190.5
2014-01-01 21:00:00,984.17,1.68,-0.11,87.9,189.8
2014-01-01 22:00:00,983.54,1.63,-0.28,87.1,188.8
2014-01-01 23:00:00,982.4,1.93,-0.08,86.5,193.6
2014-01-02 00:00:00,981.81,1.83,-0.11,86.9,172.8
2014-01-02 01:00:00,981.38,2.48,0.21,84.9,180.4
2014-01-02 02:00:00,981.13,2.63,0.25,84.3,177.8
2014-01-02 03:00:00,980.79,3.86,0.33,77.7,149.5
2014-01-02 04:00:00,980.27,3.88,0.39,77.9,200.8
2014-01-02 05:00:00,979.81,3.14,0.23,81.1,176.4
2014-01-02 06:00:00,979.24,3.54,0.23,78.9,206.4
2014-01-02 07:00:00,978.82,4.27,0.27,75.1,192.4
2014-01-02 08:00:00,979.41,4.25,-0.33,72.0,173.3
2014-01-02 09:00:00,979.54,3.86,-0.76,71.7,172.0
2014-01-02 10:00:00,979.45,3.91,-0.75,71.5,182.7
2014-01-02 11:00:00,979.09,5.07,0.44,71.9,180.7
2014-01-02 12:00:00,978.75,6.35,1.26,69.83,183.3
2014-01-02 13:00:00,978.59,6.64,1.99,72.1,196.4
2014-01-02 14:00:00,978.61,7.23,2.92,74.0,194.1
2014-01-02 15:00:00,978.87,7.12,2.78,73.8,201.5
2014-01-02 16:00:00,979.33,6.76,2.82,75.9,158.8
2014-01-02 17:00:00,979.61,6.53,3.01,78.1,189.9
2014-01-02 18:00:00,980.11,6.47,3.13,79.1,193.4
2014-01-02 19:00:00,980.81,6.79,3.49,79.4,205.5
2014-01-02 20:00:00,981.71,6.97,3.85,80.5,200.1
2014-01-02 21:00:00,982.54,6.06,3.75,85.1,213.0
2014-01-02 22:00:00,983.0,5.29,3.31,87.0,96.5
2014-01-02 23:00:00,983.69,5.86,2.74,80.3,221.8
2014-01-03 00:00:00,983.89,4.92,2.96,87.1,167.3
2014-01-03 01:00:00,983.93,4.01,2.57,90.3,103.0
2014-01-03 02:00:00,984.35,4.42,2.61,88.0,168.2
